ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,20.83,2,16.81,2,5.83,0,9,3,1,0,0.0,0.0,33.33,0
1,31.67,2,6.66,1,7.5,1,8,1,0,0,0.0,0.0,41.67,0
2,23.33,4,24.97,6,10.0,1,11,1,0,0,0.0,0.0,33.33,0
3,36.67,2,11.88,5,8.33,1,9,1,1,0,6406.67,0.0,33.33,0
4,15.0,-1,7.67,5,8.33,0,-1,3,0,1,0.0,0.0,25.0,0
5,28.33,2,14.73,12,5.0,0,4,0,0,0,0.0,0.0,25.0,0
6,24.17,-1,16.83,1,7.5,0,-1,4,1,0,0.0,0.0,33.33,0
7,52.5,1,7.75,10,12.5,1,3,1,0,0,2585.83,0.0,26.67,0
8,20.0,2,27.4,5,8.33,0,4,4,0,1,0.0,0.0,33.33,0
9,45.83,2,7.78,8,3.33,1,6,1,0,0,0.0,0.0,8.33,0
10,54.17,2,13.67,1,7.5,1,9,1,0,0,5348.33,0.0,33.33,0
11,30.0,3,15.75,0,10.83,1,0,1,0,0,0.0,0.0,33.33,0
12,21.67,2,6.08,1,7.5,0,0,0,0,1,0.0,0.0,32.5,0
13,48.33,-1,22.22,1,7.5,1,-1,1,0,0,0.0,0.0,29.17,0
14,40.0,2,20.73,1,7.5,1,9,1,0,0,2585.83,0.0,40.0,0
15,35.83,2,25.66,3,11.67,1,1,1,0,0,0.0,0.0,41.67,0
16,16.67,0,32.95,5,8.33,0,4,3,0,0,0.0,0.0,20.83,0
17,35.83,2,9.51,1,7.5,1,0,2,0,1,0.0,0.0,25.0,0
18,30.83,2,4.49,1,7.5,6,9,4,0,1,0.0,0.0,16.67,0
19,33.33,2,6.3,9,13.33,1,3,1,2,0,0.0,0.0,37.5,-1
20,28.33,2,8.0,0,10.83,1,10,1,0,0,0.0,0.0,39.17,0
21,28.33,2,17.68,5,8.33,0,4,3,1,1,0.0,0.0,29.17,0
22,60.0,-1,9.78,8,3.33,2,-1,0,0,1,0.0,0.0,5.0,0
23,20.83,2,16.37,0,10.83,0,3,0,0,0,0.0,0.0,35.83,30
24,20.83,2,15.26,0,10.83,1,3,1,0,0,0.0,0.0,33.33,0
25,37.5,1,32.08,1,7.5,1,6,1,0,0,6081.67,0.0,75.0,0
26,18.33,2,17.52,1,7.5,0,0,3,0,0,0.0,0.0,16.67,0
27,19.17,2,9.96,1,7.5,4,9,4,1,0,0.0,0.0,45.0,0
28,45.0,2,7.38,1,7.5,1,6,1,0,0,0.0,0.0,29.17,0
29,26.67,1,8.1,5,8.33,0,3,0,0,0,0.0,0.0,50.0,0
30,38.33,0,7.89,5,8.33,1,1,1,1,0,6406.67,0.0,31.67,0
31,46.67,1,13.83,2,5.83,6,4,4,0,1,0.0,0.0,41.67,0
32,20.0,1,13.95,0,10.83,0,5,0,0,0,0.0,0.0,41.67,0
33,19.17,4,19.13,5,8.33,1,11,1,0,0,0.0,0.0,33.33,0
34,21.67,2,3.21,1,7.5,2,1,4,0,1,0.0,0.0,33.33,0
35,54.17,-1,14.22,1,7.5,1,-1,1,0,0,0.0,0.0,33.33,0
36,30.0,4,29.92,0,10.83,1,3,1,0,0,0.0,0.0,33.33,0
37,18.33,2,18.41,11,2.5,0,13,0,0,0,0.0,0.0,41.67,26
38,14.17,2,19.97,12,5.0,0,9,0,0,0,0.0,0.0,33.33,0
39,16.67,2,19.09,1,7.5,0,6,3,0,0,0.0,0.0,33.33,0
40,54.17,2,10.11,3,11.67,1,3,1,0,0,0.0,0.0,41.67,0
41,36.67,5,8.91,7,9.17,1,5,1,0,0,0.0,0.0,37.5,0
42,30.0,2,34.49,1,7.5,1,8,1,0,0,0.0,0.0,33.33,0
43,24.17,2,7.68,2,5.83,1,4,1,0,0,0.0,0.0,33.33,0
44,16.67,0,10.26,5,8.33,0,8,3,0,0,0.0,0.0,26.67,0
45,23.33,2,18.0,7,9.17,1,3,2,0,1,0.0,0.0,30.0,0
46,32.5,2,21.51,8,3.33,1,6,1,0,0,0.0,0.0,33.33,4
47,45.0,2,13.81,5,8.33,1,7,1,0,0,3256.67,0.0,41.67,0
48,43.33,2,14.9,2,5.83,4,13,0,1,1,0.0,0.0,15.0,0
49,46.67,5,9.78,1,7.5,6,1,0,0,1,0.0,0.0,41.67,0
50,15.0,2,4.03,5,8.33,0,4,3,0,0,0.0,0.0,16.67,0
51,32.5,2,20.77,1,7.5,2,2,3,1,0,0.0,0.0,33.33,0
52,17.5,2,15.89,5,8.33,0,4,3,0,1,0.0,1434.17,20.0,0
53,18.33,2,4.01,1,7.5,0,4,0,0,0,11736.67,0.0,50.0,0
54,31.67,2,16.26,4,4.17,3,1,0,0,0,0.0,0.0,45.0,4
55,17.5,2,8.2,5,8.33,0,0,3,0,1,0.0,0.0,33.33,0
56,52.5,2,10.82,1,7.5,1,6,1,0,0,0.0,0.0,33.33,0
57,28.33,4,28.32,0,10.83,1,1,1,0,0,2585.83,0.0,41.67,0
58,35.0,5,12.65,1,7.5,1,1,1,0,0,4315.0,0.0,41.67,0
59,27.5,2,19.99,1,7.5,1,2,1,0,0,0.0,0.0,33.33,0
60,25.0,2,7.5,0,10.83,0,1,0,0,1,0.0,0.0,41.67,0
61,32.5,2,8.78,5,8.33,2,5,0,0,0,0.0,0.0,33.33,0
62,21.67,2,2.31,3,11.67,0,1,0,0,1,0.0,0.0,33.33,0
63,27.5,2,20.86,1,7.5,0,9,3,0,1,0.0,0.0,33.33,0
64,39.17,4,12.73,1,7.5,2,0,0,0,1,0.0,0.0,33.33,0
65,34.17,2,8.15,0,10.83,0,4,0,0,1,0.0,0.0,33.33,-1
66,34.17,5,33.01,6,10.0,1,6,1,0,0,12520.0,0.0,50.0,0
67,15.83,2,7.82,5,8.33,0,4,3,0,0,0.0,0.0,16.67,0
68,38.33,2,12.63,1,7.5,4,7,0,0,0,0.0,0.0,33.33,0
69,35.83,2,7.6,1,7.5,1,5,1,0,0,0.0,0.0,40.0,0
70,45.83,2,24.01,5,8.33,1,1,1,0,0,12520.0,0.0,37.5,0
71,38.33,2,13.02,7,9.17,1,10,1,0,0,0.0,0.0,33.33,0
72,25.0,2,17.02,1,7.5,1,9,1,0,0,0.0,0.0,33.33,4
73,17.5,2,28.83,5,8.33,4,2,0,0,1,0.0,0.0,33.33,0
74,38.33,2,19.94,5,8.33,1,6,1,4,0,0.0,0.0,33.33,23
75,14.17,-1,12.26,12,5.0,0,-1,3,0,0,0.0,0.0,33.33,0
76,34.17,2,5.56,1,7.5,1,9,1,0,0,0.0,0.0,41.67,0
77,57.5,5,12.92,1,7.5,1,5,1,0,0,0.0,0.0,25.0,0
78,41.67,2,23.16,1,7.5,1,7,1,0,0,0.0,0.0,33.33,0
79,16.67,2,5.34,5,8.33,0,0,0,0,1,0.0,0.0,33.33,0
80,37.5,5,4.97,5,8.33,1,9,1,0,0,0.0,0.0,41.67,0
81,19.17,2,15.84,0,10.83,0,1,0,0,0,0.0,0.0,33.33,0
82,20.0,2,6.16,5,8.33,4,4,0,0,0,0.0,1563.33,33.33,0
83,36.67,5,16.59,1,7.5,1,6,1,0,0,83332.5,0.0,41.67,-1
